prim_track,nsegsum,shower_max,max_pid,shower_start
128292.0,3,1,1,10000
128456.0,4,1,1,10000
128602.0,4,1,1,10000
128722.0,4,1,1,10000
128723.0,4,1,1,10000
128761.0,3,1,1,10000
128762.0,4,1,1,10000
128767.0,3,1,3,10000
128771.0,3,1,1,10000
128807.0,4,1,1,10000
128808.0,4,1,1,10000
128809.0,4,1,1,10000
128811.0,4,1,1,10000
128874.0,4,1,1,10000
128884.0,4,1,1,10000
128885.0,4,1,1,10000
128887.0,4,1,1,10000
128914.0,4,1,1,10000
128966.0,4,1,1,10000
128971.0,4,1,2,10000
129004.0,4,1,1,10000
129006.0,4,1,1,10000
129007.0,4,1,1,10000
129055.0,4,1,1,10000
129061.0,4,1,1,10000
129062.0,2,1,1,10000
129066.0,2,1,1,10000
129089.0,3,1,2,10000
129094.0,3,1,1,10000
129112.0,4,1,1,10000
129113.0,4,1,1,10000
129177.0,4,1,1,10000
129178.0,4,1,1,10000
129179.0,4,1,1,10000
129190.0,4,1,3,10000
129191.0,3,1,3,10000
129192.0,4,1,1,10000
129211.0,3,1,1,10000
129263.0,4,1,1,10000
129264.0,4,1,1,10000
129270.0,4,1,1,10000
129271.0,4,1,1,10000
129286.0,4,1,1,10000
129290.0,4,1,1,10000
129291.0,3,1,1,10000
129324.0,3,1,1,10000
129325.0,4,1,3,10000
129326.0,4,1,1,10000
129328.0,3,1,1,10000
129332.0,3,1,1,10000
129349.0,4,1,1,10000
129391.0,4,1,1,10000
129421.0,4,1,1,10000
129422.0,4,1,1,10000
129423.0,3,1,1,10000
129424.0,4,1,1,10000
129425.0,4,1,1,10000
129454.0,3,1,1,10000
129455.0,3,1,3,10000
129510.0,2,1,1,10000
129523.0,4,1,1,10000
129524.0,4,1,1,10000
129525.0,3,1,2,10000
129534.0,4,1,1,10000
129560.0,4,1,1,10000
129630.0,4,1,1,10000
129640.0,4,1,1,10000
129641.0,4,1,1,10000
129642.0,4,1,1,10000
129643.0,3,1,1,10000
129644.0,3,1,1,10000
129672.0,4,1,1,10000
129673.0,4,1,1,10000
129737.0,4,1,1,10000
129748.0,4,1,1,10000
129749.0,4,1,1,10000
129751.0,4,1,1,10000
129768.0,4,1,1,10000
129769.0,4,1,3,10000
129770.0,4,1,1,10000
129805.0,3,1,1,10000
129812.0,4,1,1,10000
129817.0,4,1,1,10000
129818.0,4,1,1,10000
129849.0,4,1,1,10000
129854.0,4,1,1,10000
129855.0,4,1,1,10000
129866.0,4,1,1,10000
129943.0,4,1,1,10000
129944.0,4,1,1,10000
129946.0,4,1,1,10000
129947.0,4,1,1,10000
129972.0,2,1,1,10000
129974.0,4,1,1,10000
130032.0,4,1,1,10000
130033.0,4,1,1,10000
130034.0,3,1,1,10000
130040.0,3,1,1,10000
130054.0,4,1,1,10000
130056.0,4,1,1,10000
130072.0,4,1,1,10000
130074.0,4,1,1,10000
130084.0,4,1,1,10000
130148.0,4,1,1,10000
130157.0,3,1,1,10000
130170.0,3,1,1,10000
130172.0,3,1,1,10000
130197.0,2,1,1,10000
130198.0,2,1,1,10000
130257.0,3,1,1,10000
130265.0,3,1,1,10000
130266.0,3,1,1,10000
130288.0,4,1,1,10000
130289.0,4,1,1,10000
130352.0,4,1,1,10000
130354.0,4,1,1,10000
130355.0,4,1,1,10000
130364.0,3,1,1,10000
130402.0,3,1,1,10000
130416.0,3,1,1,10000
130417.0,2,1,1,10000
130418.0,3,1,1,10000
130487.0,4,1,1,10000
130496.0,4,1,1,10000
130497.0,4,1,1,10000
130503.0,2,1,1,10000
130504.0,3,1,1,10000
130505.0,4,1,1,10000
130506.0,7,2,27,27
130577.0,2,1,1,10000
130584.0,2,1,1,10000
130591.0,11,2,5,5
130592.0,7,2,1,1
130595.0,3,1,1,10000
130605.0,4,1,1,10000
130619.0,2,1,1,10000
130620.0,4,1,2,10000
130631.0,8,2,1,1
130632.0,8,2,1,1
130633.0,10,2,17,17
130702.0,2,1,1,10000
130714.0,4,1,1,10000
130720.0,4,1,1,10000
130722.0,4,1,1,10000
130753.0,4,1,1,10000
130754.0,4,1,1,10000
130816.0,4,1,1,10000
130827.0,3,1,2,10000
130843.0,3,1,1,10000
130849.0,3,1,1,10000
130902.0,3,1,3,10000
130903.0,3,1,1,10000
130908.0,3,1,1,10000
130918.0,4,1,1,10000
130920.0,4,1,1,10000
130948.0,8,2,1,1
130949.0,8,2,2,2
130976.0,3,1,1,10000
131023.0,35,8,14,3
131026.0,9,2,11,11
131037.0,3,1,1,10000
131050.0,4,1,1,10000
131052.0,4,1,1,10000
131053.0,8,2,1,1
131056.0,4,1,1,10000
131058.0,3,1,1,10000
131079.0,4,1,1,10000
131080.0,4,1,1,10000
131081.0,2,1,2,10000
131083.0,4,1,5,10000
131139.0,4,1,1,10000
131140.0,4,1,1,10000
131186.0,3,1,1,10000
131187.0,3,1,1,10000
131202.0,3,1,1,10000
131276.0,3,1,1,10000
141263.0,4,1,1,10000
141283.0,4,1,1,10000
141304.0,4,1,1,10000
141305.0,4,1,1,10000
141352.0,2,1,1,10000
141430.0,2,1,1,10000
141454.0,4,1,1,10000
141455.0,4,1,1,10000
141482.0,4,1,1,10000
141495.0,4,1,3,10000
141520.0,4,1,1,10000
141531.0,3,1,1,10000
141554.0,4,1,1,10000
141574.0,3,1,1,10000
141625.0,2,1,1,10000
141626.0,4,1,1,10000
141627.0,3,1,1,10000
141628.0,4,1,1,10000
141641.0,4,1,1,10000
141642.0,3,1,1,10000
141643.0,3,1,2,10000
141644.0,4,1,1,10000
141674.0,4,1,1,10000
141703.0,3,1,1,10000
141704.0,4,1,1,10000
141705.0,4,1,1,10000
141706.0,3,1,2,10000
141713.0,4,1,1,10000
