prim_track,nsegsum,shower_max,max_pid,shower_start
415128.0,4,1,1,10000
415129.0,3,1,1,10000
415131.0,3,1,1,10000
415161.0,8,2,1,1
415163.0,4,1,1,10000
415164.0,4,1,1,10000
415239.0,7,2,22,22
415273.0,4,1,1,10000
415349.0,3,2,1,1
415352.0,8,2,1,1
415354.0,7,2,6,6
415365.0,3,1,1,10000
415366.0,4,1,1,10000
415397.0,5,2,27,27
415398.0,2,1,1,10000
415399.0,8,2,1,1
415400.0,7,2,25,25
415401.0,8,2,1,1
415402.0,4,1,1,10000
415406.0,4,2,2,2
415466.0,3,1,1,10000
415470.0,2,1,1,10000
415473.0,3,1,1,10000
415477.0,4,1,1,10000
415479.0,4,1,1,10000
415483.0,3,1,1,10000
415505.0,4,1,1,10000
415507.0,2,1,1,10000
415508.0,2,1,1,10000
415509.0,4,1,1,10000
415512.0,4,2,2,2
415568.0,3,1,1,10000
415573.0,7,2,6,6
415593.0,4,1,1,10000
415595.0,2,1,1,10000
415596.0,4,1,1,10000
415657.0,3,1,1,10000
415658.0,10,2,23,23
415673.0,2,1,1,10000
415674.0,4,1,2,10000
415675.0,9,2,25,25
415693.0,4,1,1,10000
415704.0,6,2,1,1
415705.0,6,2,1,1
415706.0,4,1,1,10000
415707.0,4,1,1,10000
415797.0,3,1,1,10000
415804.0,4,1,1,10000
415812.0,3,1,1,10000
415813.0,3,1,1,10000
415814.0,4,1,1,10000
415815.0,3,1,1,10000
415848.0,4,1,1,10000
415849.0,3,1,1,10000
415909.0,8,2,15,15
415915.0,4,1,1,10000
415916.0,4,1,1,10000
415917.0,4,1,1,10000
415927.0,3,1,1,10000
415928.0,4,1,1,10000
415950.0,4,1,1,10000
415951.0,4,1,1,10000
415960.0,4,1,1,10000
416025.0,4,1,1,10000
416032.0,2,1,1,10000
416040.0,2,1,1,10000
416046.0,7,3,1,1
416047.0,7,3,1,1
416048.0,7,3,1,1
416056.0,3,1,1,10000
416057.0,2,1,1,10000
416058.0,2,1,1,10000
416059.0,4,1,1,10000
416075.0,4,1,1,10000
416076.0,4,1,1,10000
416077.0,4,1,1,10000
416078.0,4,1,1,10000
416079.0,4,1,1,10000
416081.0,39,10,34,6
416082.0,4,1,1,10000
416134.0,3,1,1,10000
416145.0,4,1,1,10000
416146.0,3,1,1,10000
416147.0,4,1,1,10000
416165.0,1,1,3,10000
416166.0,2,1,1,10000
416167.0,4,1,1,10000
416168.0,7,2,10,10
416211.0,3,1,2,10000
416212.0,4,1,1,10000
416233.0,3,1,1,10000
416238.0,25,6,10,7
416239.0,4,1,2,10000
416240.0,60,12,16,7
416257.0,4,1,3,10000
416258.0,4,1,1,10000
416271.0,4,1,1,10000
416291.0,4,1,1,10000
416292.0,4,1,1,10000
416343.0,3,1,1,10000
416356.0,4,1,1,10000
416360.0,4,1,1,10000
416361.0,4,1,1,10000
416362.0,4,1,1,10000
416363.0,4,1,1,10000
416364.0,4,1,1,10000
416368.0,4,1,1,10000
416381.0,3,1,1,10000
416382.0,4,1,1,10000
416437.0,4,1,1,10000
416444.0,4,1,1,10000
416457.0,4,1,1,10000
416458.0,4,1,1,10000
416459.0,4,1,1,10000
416487.0,4,1,1,10000
416502.0,4,1,1,10000
416503.0,4,1,1,10000
416504.0,4,1,2,10000
416505.0,4,1,1,10000
416506.0,3,1,1,10000
416587.0,5,2,23,23
416588.0,4,1,1,10000
416592.0,3,1,1,10000
416593.0,4,1,1,10000
416594.0,4,1,1,10000
416618.0,4,1,1,10000
416619.0,3,1,1,10000
416672.0,4,1,1,10000
416673.0,4,1,3,10000
416680.0,4,1,1,10000
416707.0,4,1,1,10000
416708.0,2,1,1,10000
416768.0,4,1,1,10000
416769.0,3,1,1,10000
416778.0,3,1,1,10000
416793.0,3,1,1,10000
416794.0,4,1,1,10000
416797.0,4,1,3,10000
416805.0,4,1,1,10000
416872.0,3,1,2,10000
416873.0,4,1,5,10000
416875.0,7,2,20,20
416883.0,3,1,1,10000
416894.0,4,1,5,10000
416895.0,4,1,2,10000
416897.0,3,1,2,10000
416982.0,4,1,1,10000
416983.0,2,1,1,10000
416987.0,4,1,1,10000
417003.0,3,1,1,10000
417014.0,4,1,2,10000
417030.0,5,2,1,1
417032.0,5,2,1,1
417033.0,4,1,1,10000
417094.0,4,1,3,10000
417098.0,3,1,1,10000
417120.0,2,1,1,10000
417144.0,3,1,1,10000
417145.0,3,1,1,10000
417146.0,4,1,1,10000
417239.0,4,1,1,10000
417240.0,4,1,1,10000
417241.0,3,1,1,10000
417243.0,1,1,1,10000
417300.0,2,1,1,10000
417302.0,4,1,1,10000
417303.0,3,1,1,10000
417310.0,4,1,1,10000
417342.0,3,1,1,10000
417343.0,4,1,1,10000
417364.0,3,1,2,10000
417373.0,3,1,1,10000
417374.0,4,1,1,10000
417376.0,3,1,1,10000
417391.0,4,1,1,10000
417456.0,2,1,1,10000
417457.0,4,1,1,10000
417464.0,3,1,1,10000
417561.0,3,1,1,10000
417562.0,4,1,1,10000
417568.0,4,1,1,10000
417570.0,4,1,1,10000
417600.0,3,1,1,10000
417679.0,7,2,24,24
417682.0,3,1,2,10000
417683.0,4,1,1,10000
417693.0,3,1,1,10000
417718.0,4,1,2,10000
417719.0,4,1,1,10000
417783.0,3,1,1,10000
417784.0,4,1,1,10000
417785.0,4,1,1,10000
417796.0,4,1,1,10000
417797.0,4,1,1,10000
417798.0,3,1,1,10000
417819.0,3,1,2,10000
417866.0,3,1,1,10000
417867.0,3,1,1,10000
417870.0,3,1,1,10000
417881.0,4,1,1,10000
417928.0,3,1,1,10000
417993.0,3,1,1,10000
418076.0,2,1,1,10000
418077.0,2,1,1,10000
418122.0,9,2,4,4
418123.0,7,2,1,1
429957.0,4,1,1,10000
429958.0,4,1,1,10000
429959.0,4,1,1,10000
429997.0,3,1,1,10000
430017.0,8,2,1,1
430018.0,8,2,1,1
430039.0,4,1,1,10000
430040.0,8,2,4,4
430041.0,4,1,1,10000
430065.0,4,1,1,10000
430067.0,3,1,1,10000
430078.0,4,1,1,10000
430083.0,2,1,1,10000
430113.0,4,1,1,10000
430157.0,3,1,1,10000
430200.0,4,1,1,10000
430203.0,4,1,1,10000
430204.0,4,1,1,10000
430205.0,4,1,2,10000
430217.0,4,2,1,1
430218.0,8,2,2,2
430219.0,6,2,2,2
430220.0,4,2,1,1
430221.0,4,1,1,10000
430222.0,2,1,1,10000
430234.0,4,1,1,10000
430235.0,4,1,1,10000
430247.0,3,2,1,1
430248.0,7,2,7,7
430249.0,3,1,1,10000
430250.0,2,1,1,10000
430251.0,4,1,5,10000
430271.0,4,1,1,10000
430283.0,4,1,1,10000
430284.0,7,2,2,2
430294.0,2,1,1,10000
430295.0,4,1,1,10000
430296.0,2,1,1,10000
430310.0,2,1,1,10000
430311.0,2,1,1,10000
430312.0,2,1,1,10000
430330.0,2,1,1,10000
430332.0,2,1,1,10000
430333.0,4,1,1,10000
430334.0,4,1,1,10000
430335.0,2,1,1,10000
430347.0,3,1,1,10000
430349.0,4,1,1,10000
430366.0,4,1,1,10000
430367.0,4,1,1,10000
430369.0,3,1,1,10000
430370.0,4,1,1,10000
430371.0,4,1,1,10000
430372.0,4,1,1,10000
430398.0,7,2,11,11
430399.0,4,1,1,10000
430400.0,4,1,1,10000
430403.0,4,1,1,10000
430404.0,4,1,1,10000
430405.0,4,1,1,10000
430421.0,3,1,1,10000
430423.0,4,1,2,10000
430424.0,4,1,1,10000
430447.0,4,1,1,10000
430452.0,4,1,1,10000
430453.0,2,1,1,10000
430456.0,3,1,1,10000
430467.0,4,2,23,23
430468.0,4,1,1,10000
430471.0,4,1,1,10000
430473.0,4,1,1,10000
430475.0,4,1,1,10000
430497.0,4,1,1,10000
430498.0,4,1,1,10000
430521.0,4,1,1,10000
430522.0,4,1,1,10000
430523.0,4,1,1,10000
430524.0,2,1,1,10000
430536.0,4,1,1,10000
430537.0,4,1,1,10000
430538.0,4,1,1,10000
430541.0,1,1,11,10000
430571.0,4,1,1,10000
430572.0,2,1,1,10000
430574.0,4,1,1,10000
430588.0,4,1,1,10000
430589.0,4,1,1,10000
430590.0,4,1,1,10000
430592.0,2,1,1,10000
430606.0,2,1,1,10000
430613.0,3,1,1,10000
430614.0,3,1,1,10000
430615.0,9,2,18,18
430616.0,4,1,1,10000
430654.0,7,2,11,11
430655.0,3,1,1,10000
430672.0,4,1,2,10000
430680.0,4,1,1,10000
430682.0,4,1,1,10000
430683.0,10,2,16,16
430704.0,4,1,1,10000
430705.0,54,11,12,6
430706.0,24,5,17,10
430707.0,4,1,1,10000
430720.0,4,1,1,10000
430722.0,3,1,1,10000
430735.0,3,1,1,10000
430736.0,4,1,1,10000
430741.0,6,2,16,16
430750.0,4,1,1,10000
430751.0,4,1,3,10000
430752.0,4,1,1,10000
430776.0,8,2,1,1
430777.0,5,2,1,1
430801.0,4,1,1,10000
430802.0,4,1,1,10000
430803.0,4,1,1,10000
430805.0,4,1,1,10000
430817.0,4,1,1,10000
430819.0,4,1,1,10000
430820.0,4,1,1,10000
430821.0,8,2,20,20
430822.0,4,1,1,10000
430826.0,4,1,1,10000
430852.0,4,1,1,10000
430853.0,4,1,1,10000
430856.0,4,1,1,10000
430865.0,4,1,1,10000
430882.0,4,1,1,10000
430883.0,4,1,1,10000
430911.0,4,1,1,10000
430929.0,2,1,1,10000
430930.0,3,1,1,10000
430931.0,4,1,1,10000
430939.0,4,1,1,10000
430987.0,4,1,1,10000
430988.0,4,1,1,10000
430991.0,4,1,1,10000
431006.0,3,1,1,10000
431027.0,4,1,1,10000
431028.0,4,1,1,10000
431030.0,4,1,7,10000
431045.0,4,2,55,55
431046.0,4,1,1,10000
431047.0,2,1,1,10000
431048.0,4,1,1,10000
431051.0,3,1,1,10000
431070.0,4,1,1,10000
431071.0,4,1,1,10000
431082.0,10,2,6,6
431083.0,4,1,1,10000
431084.0,4,1,1,10000
431085.0,4,1,1,10000
431110.0,4,1,1,10000
431111.0,4,1,1,10000
431112.0,4,1,1,10000
431121.0,3,1,1,10000
431122.0,4,1,1,10000
431123.0,4,1,1,10000
431124.0,4,1,1,10000
431125.0,4,1,1,10000
431127.0,2,1,1,10000
431159.0,4,1,1,10000
431191.0,4,1,1,10000
431200.0,6,2,1,1
431201.0,4,1,1,10000
431202.0,11,2,4,4
431203.0,11,2,4,4
431224.0,3,1,1,10000
431236.0,4,1,3,10000
431245.0,4,1,1,10000
431251.0,52,10,12,5
431260.0,4,1,1,10000
431261.0,4,1,1,10000
431262.0,4,1,1,10000
431282.0,4,1,1,10000
431286.0,4,1,1,10000
431311.0,4,1,1,10000
431332.0,4,1,1,10000
431334.0,4,1,2,10000
431342.0,7,2,1,1
431343.0,4,1,1,10000
431344.0,3,1,1,10000
431346.0,8,2,1,1
431361.0,4,1,1,10000
431394.0,3,1,7,10000
431395.0,4,1,1,10000
431404.0,3,1,1,10000
431407.0,4,1,1,10000
431416.0,4,1,1,10000
431417.0,2,1,4,10000
431422.0,4,1,1,10000
431426.0,4,1,1,10000
431449.0,3,1,1,10000
431450.0,4,1,1,10000
431473.0,4,1,1,10000
431474.0,7,2,6,6
431475.0,4,1,1,10000
431477.0,9,2,5,5
431491.0,4,1,1,10000
431519.0,4,1,1,10000
431534.0,4,1,1,10000
431546.0,3,1,7,10000
431580.0,8,2,19,19
431581.0,7,2,1,1
431582.0,4,1,1,10000
431616.0,4,1,1,10000
431620.0,4,1,1,10000
431639.0,4,1,1,10000
431641.0,4,1,1,10000
431643.0,4,1,1,10000
431659.0,4,1,1,10000
431667.0,3,1,1,10000
431699.0,4,1,1,10000
431702.0,4,1,1,10000
431703.0,6,2,22,22
431725.0,4,1,1,10000
431726.0,4,1,1,10000
431746.0,4,1,1,10000
431748.0,4,1,1,10000
431763.0,5,2,1,1
431764.0,4,1,1,10000
431765.0,4,1,1,10000
431775.0,4,1,1,10000
431777.0,3,1,1,10000
431778.0,4,1,1,10000
431825.0,8,2,4,4
431832.0,3,1,2,10000
431844.0,4,1,1,10000
431865.0,4,1,1,10000
431870.0,4,1,1,10000
431880.0,6,2,25,25
431882.0,4,1,3,10000
431888.0,3,1,1,10000
431907.0,4,1,1,10000
431920.0,4,1,1,10000
431921.0,4,1,3,10000
431922.0,4,1,3,10000
431924.0,4,1,1,10000
431939.0,7,2,1,1
431940.0,10,2,5,5
431967.0,4,1,3,10000
431970.0,4,1,6,10000
432027.0,7,2,1,1
432028.0,4,1,1,10000
432029.0,7,2,1,1
432038.0,4,1,1,10000
432039.0,4,1,1,10000
432067.0,4,1,1,10000
432068.0,10,2,6,6
432069.0,4,1,4,10000
432107.0,2,1,1,10000
432121.0,4,1,1,10000
432122.0,4,1,1,10000
432123.0,4,1,1,10000
432124.0,2,1,1,10000
432145.0,2,1,1,10000
432146.0,10,2,6,6
432147.0,10,2,5,5
432166.0,2,1,1,10000
432167.0,4,1,1,10000
432169.0,4,1,1,10000
432193.0,4,1,3,10000
432209.0,10,2,6,6
432210.0,4,1,1,10000
432211.0,4,1,1,10000
432236.0,4,1,1,10000
432248.0,9,3,9,9
432260.0,4,1,1,10000
432277.0,4,1,1,10000
432280.0,4,1,1,10000
432282.0,4,1,1,10000
432287.0,4,1,1,10000
432304.0,2,1,1,10000
432305.0,4,1,1,10000
432317.0,3,1,1,10000
432327.0,4,1,1,10000
432329.0,4,1,1,10000
432340.0,3,1,1,10000
432360.0,4,1,3,10000
432380.0,3,1,1,10000
432399.0,4,1,1,10000
432400.0,4,1,3,10000
432425.0,3,1,1,10000
432428.0,3,1,1,10000
432442.0,3,1,1,10000
432507.0,3,1,1,10000
432508.0,4,1,1,10000
432633.0,4,1,1,10000
432671.0,3,1,1,10000
432704.0,4,1,1,10000
432705.0,3,1,1,10000
432732.0,4,1,3,10000
432734.0,4,1,2,10000
432760.0,4,1,3,10000
432762.0,4,1,1,10000
432763.0,4,1,3,10000
432788.0,4,1,1,10000
432807.0,3,1,1,10000
432813.0,3,1,7,10000
432826.0,4,1,1,10000
432857.0,4,1,1,10000
432916.0,4,1,3,10000
432927.0,4,1,1,10000
432928.0,4,1,1,10000
432948.0,4,1,1,10000
432950.0,4,1,5,10000
432951.0,4,1,1,10000
432965.0,2,1,1,10000
432968.0,4,1,1,10000
433018.0,2,1,1,10000
433019.0,4,1,1,10000
433020.0,2,1,1,10000
433035.0,4,1,1,10000
433064.0,3,1,1,10000
433083.0,4,1,1,10000
433084.0,3,1,1,10000
433085.0,3,1,1,10000
433086.0,3,1,1,10000
433088.0,4,1,1,10000
433136.0,4,1,1,10000
433137.0,3,1,1,10000
433138.0,4,1,1,10000
433170.0,4,1,1,10000
433172.0,4,1,1,10000
433201.0,3,1,1,10000
433218.0,3,1,1,10000
433229.0,3,1,1,10000
433239.0,3,1,1,10000
433249.0,4,1,3,10000
433285.0,4,1,1,10000
433299.0,4,1,1,10000
433300.0,2,1,2,10000
433301.0,3,1,1,10000
433302.0,4,1,1,10000
433313.0,4,1,1,10000
433314.0,4,1,1,10000
433320.0,3,1,1,10000
433322.0,4,1,1,10000
433325.0,3,1,2,10000
433348.0,4,1,3,10000
433368.0,50,13,13,6
433373.0,3,1,1,10000
433391.0,3,1,1,10000
433420.0,3,1,1,10000
433434.0,3,1,7,10000
433468.0,50,12,12,8
433505.0,3,1,1,10000
433558.0,2,1,1,10000
443925.0,3,1,1,10000
443926.0,4,1,1,10000
443928.0,4,1,1,10000
443948.0,7,2,25,25
443970.0,2,1,1,10000
443971.0,4,1,1,10000
443973.0,4,1,3,10000
444014.0,4,1,1,10000
444060.0,8,2,1,1
444061.0,8,2,1,1
444062.0,10,2,11,11
444063.0,4,1,1,10000
