prim_track,nsegsum,shower_max,max_pid,shower_start
410180.0,4,1,1,10000
410181.0,4,1,1,10000
410182.0,2,1,1,10000
410183.0,4,1,1,10000
410216.0,4,1,1,10000
410217.0,4,1,1,10000
410270.0,4,1,1,10000
410374.0,4,1,1,10000
410381.0,50,12,18,2
410383.0,8,2,22,22
410384.0,4,1,3,10000
410385.0,4,1,1,10000
410386.0,4,1,1,10000
410387.0,9,2,8,8
410419.0,4,1,1,10000
410420.0,14,3,4,2
410421.0,4,1,1,10000
410423.0,4,1,1,10000
410424.0,8,2,1,1
410426.0,4,1,1,10000
410428.0,8,2,1,1
410506.0,4,1,1,10000
410507.0,4,1,1,10000
410508.0,4,1,1,10000
410513.0,3,1,1,10000
410515.0,2,1,1,10000
410535.0,4,1,1,10000
410536.0,4,1,1,10000
410540.0,3,1,2,10000
410603.0,4,1,1,10000
410612.0,2,1,1,10000
410616.0,5,2,1,1
410702.0,2,1,1,10000
410715.0,4,1,1,10000
410716.0,5,2,1,1
410719.0,9,2,6,6
410730.0,4,1,1,10000
410731.0,4,1,1,10000
410734.0,4,1,1,10000
410751.0,4,1,1,10000
410752.0,4,1,3,10000
410753.0,2,1,1,10000
410754.0,4,1,1,10000
410761.0,4,1,1,10000
410781.0,2,1,1,10000
410782.0,10,2,4,4
410784.0,8,2,4,4
410846.0,6,2,1,1
410847.0,3,1,1,10000
410848.0,4,1,1,10000
410852.0,6,2,1,1
410855.0,2,1,1,10000
410856.0,4,1,1,10000
410874.0,6,2,1,1
410875.0,6,2,1,1
410877.0,4,1,1,10000
410941.0,4,1,1,10000
410942.0,4,1,1,10000
410943.0,3,1,1,10000
410948.0,2,1,1,10000
410949.0,4,1,1,10000
410963.0,5,2,25,25
410964.0,3,1,1,10000
410965.0,5,2,1,1
410966.0,4,1,1,10000
410967.0,4,1,1,10000
410968.0,4,1,1,10000
410969.0,58,11,7,3
410985.0,3,1,1,10000
410986.0,4,1,1,10000
410987.0,4,1,1,10000
410988.0,2,1,1,10000
411002.0,6,2,1,1
411004.0,6,2,1,1
411005.0,4,1,1,10000
411006.0,4,1,1,10000
411007.0,4,1,1,10000
411076.0,3,1,1,10000
411077.0,4,1,1,10000
411084.0,4,1,1,10000
411101.0,14,4,21,3
411102.0,34,8,22,3
411107.0,4,1,1,10000
411109.0,4,1,1,10000
411110.0,4,1,1,10000
411113.0,4,1,1,10000
411123.0,3,1,1,10000
411124.0,4,1,1,10000
411126.0,3,1,3,10000
411127.0,4,1,1,10000
411128.0,7,2,3,3
411130.0,4,1,1,10000
411178.0,25,7,26,9
411179.0,4,1,1,10000
411180.0,4,1,1,10000
411193.0,3,1,1,10000
411194.0,3,1,1,10000
411218.0,7,2,1,1
411219.0,3,1,1,10000
411220.0,8,2,1,1
411221.0,6,2,1,1
411223.0,4,1,1,10000
411224.0,8,2,1,1
411225.0,4,1,1,10000
411226.0,3,1,1,10000
411286.0,7,2,1,1
411287.0,8,2,4,4
411288.0,4,1,1,10000
411295.0,4,1,1,10000
411296.0,2,1,1,10000
411307.0,9,2,3,3
411308.0,4,1,2,10000
411320.0,4,1,1,10000
411322.0,4,1,1,10000
411323.0,4,1,2,10000
411346.0,4,1,1,10000
411347.0,2,1,1,10000
411348.0,4,1,1,10000
411394.0,9,2,3,3
411395.0,5,2,1,1
411396.0,3,1,1,10000
411397.0,8,3,13,1
411464.0,4,1,5,10000
411481.0,2,1,1,10000
411483.0,4,1,1,10000
411507.0,4,1,1,10000
411508.0,4,1,3,10000
411561.0,9,2,7,7
411570.0,4,1,1,10000
411582.0,3,1,1,10000
411587.0,4,1,1,10000
411589.0,3,1,1,10000
411590.0,4,1,1,10000
411602.0,4,1,1,10000
411604.0,6,2,1,1
411605.0,4,1,1,10000
411615.0,3,1,1,10000
411616.0,4,1,1,10000
411698.0,9,2,21,21
411700.0,4,1,1,10000
411713.0,4,1,1,10000
411714.0,4,1,1,10000
411740.0,4,1,3,10000
411743.0,4,1,1,10000
411744.0,4,1,1,10000
411811.0,4,1,1,10000
411812.0,7,2,25,25
411813.0,4,1,1,10000
411814.0,4,1,1,10000
411815.0,8,2,28,28
411816.0,7,2,27,27
411822.0,4,1,1,10000
411823.0,4,1,1,10000
411825.0,4,1,1,10000
411843.0,4,1,1,10000
411898.0,4,1,1,10000
411900.0,4,1,1,10000
411901.0,4,1,1,10000
411902.0,4,1,1,10000
411903.0,4,1,1,10000
411905.0,4,1,1,10000
411921.0,4,1,1,10000
411922.0,4,1,1,10000
411923.0,4,1,1,10000
411936.0,4,1,1,10000
411937.0,2,1,1,10000
411938.0,4,1,1,10000
411939.0,4,1,1,10000
411945.0,10,3,1,1
411946.0,3,1,1,10000
411947.0,4,1,1,10000
411948.0,3,1,1,10000
411950.0,2,1,1,10000
411951.0,4,1,1,10000
411952.0,6,2,1,1
411953.0,10,3,1,1
411955.0,16,4,8,2
412029.0,4,1,1,10000
412041.0,2,1,1,10000
412043.0,4,1,1,10000
412051.0,7,2,1,1
412052.0,8,2,1,1
412053.0,4,1,1,10000
412054.0,3,1,1,10000
412055.0,4,1,1,10000
412056.0,3,1,1,10000
412057.0,4,1,1,10000
412060.0,8,2,1,1
412061.0,6,2,2,2
412085.0,19,4,20,1
412086.0,9,3,1,1
412087.0,2,1,1,10000
412088.0,7,3,24,5
412089.0,4,1,1,10000
412090.0,19,4,20,1
412091.0,12,3,1,1
412092.0,4,1,1,10000
412152.0,4,1,1,10000
412156.0,4,1,1,10000
412160.0,2,1,1,10000
412178.0,8,2,10,10
412179.0,4,1,1,10000
412180.0,44,10,10,3
412181.0,4,1,6,10000
412183.0,9,2,7,7
412184.0,6,2,3,3
412204.0,4,1,1,10000
412205.0,4,1,1,10000
412208.0,4,1,1,10000
412209.0,4,1,1,10000
412221.0,7,2,1,1
412222.0,4,1,1,10000
412223.0,4,1,1,10000
412224.0,4,1,1,10000
412226.0,4,1,1,10000
412291.0,4,1,1,10000
412292.0,4,1,1,10000
412298.0,5,2,5,5
412299.0,8,2,9,9
412306.0,2,1,1,10000
412311.0,4,1,1,10000
412327.0,4,1,1,10000
412328.0,2,1,1,10000
412329.0,2,1,1,10000
412330.0,4,1,1,10000
412331.0,4,1,1,10000
412332.0,4,2,1,1
412353.0,2,1,1,10000
412354.0,4,1,1,10000
412355.0,9,2,4,4
412356.0,9,2,5,5
412407.0,4,2,1,1
412424.0,8,2,2,2
412426.0,4,1,1,10000
412429.0,2,1,1,10000
412430.0,8,2,4,4
412443.0,2,1,1,10000
412444.0,4,1,1,10000
412445.0,4,1,1,10000
412448.0,4,1,1,10000
412450.0,3,1,1,10000
412474.0,2,1,1,10000
412475.0,2,1,1,10000
412476.0,2,1,1,10000
412477.0,3,1,1,10000
412478.0,2,1,1,10000
412540.0,2,1,1,10000
412552.0,6,2,25,25
412553.0,4,1,1,10000
412554.0,2,1,1,10000
412563.0,2,1,1,10000
412590.0,11,3,1,1
412591.0,3,1,1,10000
412593.0,4,1,1,10000
412594.0,4,1,1,10000
412595.0,11,3,1,1
412596.0,10,3,1,1
412597.0,4,1,1,10000
412643.0,4,1,1,10000
412645.0,4,1,1,10000
412691.0,2,1,1,10000
412706.0,4,1,1,10000
412707.0,7,2,27,27
412721.0,4,1,1,10000
412722.0,4,1,3,10000
412723.0,5,2,1,1
412724.0,9,2,6,6
412732.0,3,1,1,10000
412733.0,4,1,1,10000
412735.0,3,1,1,10000
412736.0,4,1,1,10000
412737.0,8,2,1,1
412738.0,4,1,1,10000
412740.0,8,2,1,1
412742.0,4,1,1,10000
412744.0,3,1,1,10000
412770.0,4,1,1,10000
412771.0,4,1,1,10000
412772.0,6,2,32,32
412774.0,6,2,40,40
412777.0,3,1,1,10000
412838.0,4,1,1,10000
412839.0,4,1,1,10000
412840.0,4,1,1,10000
412850.0,4,1,1,10000
412851.0,4,1,1,10000
412857.0,4,1,1,10000
412866.0,4,1,1,10000
412867.0,4,1,1,10000
412868.0,8,2,10,10
412869.0,4,1,1,10000
412870.0,10,2,30,30
412871.0,3,1,1,10000
412899.0,4,1,1,10000
412900.0,4,1,1,10000
412901.0,2,1,1,10000
412902.0,3,1,1,10000
412913.0,11,2,28,28
412914.0,4,1,1,10000
412916.0,4,1,1,10000
412917.0,4,1,1,10000
412998.0,8,2,7,7
413004.0,10,2,3,3
413008.0,10,2,3,3
413016.0,4,1,1,10000
413018.0,10,3,1,1
413020.0,4,1,1,10000
413024.0,8,2,1,1
413026.0,7,2,1,1
413054.0,2,1,1,10000
413055.0,4,1,1,10000
413056.0,4,1,1,10000
413060.0,4,1,2,10000
413120.0,2,1,1,10000
413128.0,4,1,1,10000
413129.0,8,2,28,28
413130.0,4,1,1,10000
413131.0,4,1,1,10000
413133.0,4,1,1,10000
413143.0,4,1,1,10000
413144.0,4,1,1,10000
413146.0,4,1,1,10000
413147.0,7,2,22,22
