prim_track,nsegsum,shower_max,max_pid,shower_start
132674.0,4,1,1,10000
132675.0,4,1,1,10000
132676.0,5,2,27,27
132677.0,10,2,8,8
132680.0,4,1,3,10000
132718.0,4,1,1,10000
132793.0,2,1,1,10000
132812.0,4,1,1,10000
132924.0,4,1,1,10000
132925.0,3,1,1,10000
132928.0,11,2,8,8
132941.0,8,2,24,24
132942.0,3,1,1,10000
132943.0,4,1,1,10000
132944.0,7,2,17,17
132945.0,9,2,39,39
132946.0,3,1,1,10000
132960.0,8,2,1,1
132961.0,8,2,1,1
132970.0,8,2,1,1
132971.0,4,1,1,10000
132972.0,4,1,1,10000
132974.0,4,1,1,10000
132977.0,3,1,1,10000
132978.0,9,2,36,36
133033.0,4,1,1,10000
133034.0,4,1,1,10000
133035.0,4,1,1,10000
133038.0,4,1,1,10000
133040.0,3,1,1,10000
133062.0,4,1,1,10000
133063.0,4,1,1,10000
133064.0,8,2,1,1
133065.0,4,1,1,10000
133066.0,4,1,1,10000
133067.0,8,2,1,1
133101.0,4,1,1,10000
133110.0,3,1,1,10000
133111.0,4,1,1,10000
133112.0,4,1,1,10000
133119.0,4,1,1,10000
133120.0,4,1,1,10000
133121.0,7,2,43,43
133145.0,4,1,1,10000
133146.0,4,1,1,10000
133147.0,4,1,1,10000
133149.0,11,2,29,29
133150.0,4,1,2,10000
133197.0,3,1,1,10000
133206.0,4,1,1,10000
133207.0,8,2,29,29
133208.0,4,1,3,10000
133209.0,4,1,1,10000
133217.0,4,1,1,10000
133218.0,4,1,1,10000
133219.0,4,1,1,10000
133220.0,4,1,1,10000
133237.0,4,1,1,10000
133238.0,4,1,1,10000
133239.0,3,1,1,10000
133250.0,4,1,1,10000
133313.0,2,1,1,10000
133328.0,8,2,1,1
133329.0,8,2,6,6
133330.0,4,1,1,10000
133331.0,4,1,1,10000
133340.0,4,1,1,10000
133341.0,5,2,57,57
133356.0,4,1,1,10000
133358.0,4,1,1,10000
133359.0,4,1,1,10000
133360.0,4,1,1,10000
133361.0,3,1,1,10000
133362.0,4,1,1,10000
133385.0,2,1,1,10000
133386.0,4,1,1,10000
133389.0,3,1,1,10000
133437.0,3,1,1,10000
133449.0,4,1,1,10000
133450.0,2,1,1,10000
133451.0,4,1,1,10000
133452.0,4,1,2,10000
133473.0,8,2,32,32
133475.0,10,2,26,26
133493.0,9,2,5,5
133494.0,6,2,18,18
133495.0,4,1,1,10000
133497.0,8,2,1,1
133498.0,4,1,1,10000
133508.0,7,2,2,2
133511.0,10,2,20,20
133573.0,8,2,1,1
133574.0,9,2,26,26
133575.0,3,1,1,10000
133579.0,4,1,1,10000
