prim_track,nsegsum,shower_max,max_pid,shower_start
134856.0,4,1,1,10000
134857.0,7,2,24,24
134890.0,8,2,8,8
134891.0,4,1,1,10000
134892.0,2,1,1,10000
134893.0,10,2,6,6
134958.0,4,1,1,10000
135038.0,4,1,1,10000
135039.0,4,1,1,10000
135049.0,3,1,1,10000
135051.0,4,1,1,10000
135052.0,4,1,1,10000
135078.0,4,1,1,10000
135079.0,4,1,1,10000
135092.0,4,1,1,10000
135093.0,4,1,1,10000
135146.0,4,1,1,10000
135149.0,3,1,1,10000
135155.0,6,2,1,1
135156.0,2,1,1,10000
135177.0,2,1,1,10000
135178.0,4,1,1,10000
135179.0,2,1,1,10000
135181.0,2,1,1,10000
135217.0,4,1,1,10000
135223.0,4,1,1,10000
135224.0,4,1,1,10000
135226.0,4,1,2,10000
135227.0,2,1,1,10000
135255.0,10,2,25,25
135257.0,4,1,1,10000
135258.0,7,2,8,8
135259.0,6,2,7,7
135319.0,2,1,1,10000
135320.0,4,1,1,10000
135331.0,3,1,1,10000
135332.0,2,1,1,10000
135333.0,2,1,1,10000
135334.0,4,1,1,10000
135336.0,4,1,3,10000
135357.0,2,1,1,10000
135358.0,8,2,30,30
135368.0,7,2,26,26
135385.0,40,8,10,7
135386.0,4,1,1,10000
135443.0,10,2,5,5
135444.0,2,1,1,10000
135445.0,4,1,1,10000
135477.0,4,1,1,10000
135508.0,4,1,1,10000
135532.0,3,1,1,10000
135533.0,3,1,1,10000
135544.0,8,2,1,1
135545.0,4,1,1,10000
135546.0,2,1,1,10000
135547.0,8,2,1,1
135549.0,3,1,1,10000
135569.0,2,1,2,10000
135618.0,3,1,1,10000
135628.0,4,1,1,10000
135629.0,3,1,1,10000
135640.0,4,1,1,10000
135641.0,4,1,1,10000
135649.0,4,1,2,10000
135654.0,4,1,1,10000
135655.0,3,1,1,10000
135656.0,3,1,1,10000
135676.0,4,1,2,10000
135677.0,4,1,1,10000
135679.0,4,1,1,10000
135720.0,2,1,1,10000
135732.0,4,1,1,10000
135733.0,4,1,1,10000
135739.0,4,1,1,10000
135740.0,4,1,1,10000
135741.0,4,1,2,10000
135760.0,4,1,1,10000
135761.0,4,1,1,10000
135762.0,3,1,1,10000
135764.0,4,1,2,10000
135816.0,4,1,1,10000
135850.0,4,1,1,10000
135851.0,3,1,1,10000
135854.0,4,1,1,10000
135867.0,8,2,3,3
135871.0,2,1,2,10000
135873.0,10,2,8,8
135892.0,4,1,1,10000
135919.0,3,1,1,10000
135931.0,4,1,1,10000
135932.0,4,1,1,10000
135933.0,4,1,1,10000
135934.0,4,1,3,10000
135952.0,8,2,1,1
135953.0,8,2,1,1
136021.0,3,1,1,10000
136035.0,8,2,15,15
136040.0,4,1,1,10000
136048.0,4,1,1,10000
136050.0,4,1,1,10000
136069.0,4,1,1,10000
136089.0,4,1,1,10000
136145.0,4,1,1,10000
