prim_track,nsegsum,shower_max,max_pid,shower_start
269504.0,4,1,1,10000
269510.0,3,1,1,10000
269511.0,4,1,1,10000
269534.0,2,1,1,10000
269535.0,2,1,1,10000
269613.0,4,1,1,10000
269614.0,4,1,1,10000
269615.0,3,1,1,10000
269622.0,4,1,1,10000
269625.0,8,2,1,1
269626.0,4,1,1,10000
269645.0,4,1,1,10000
269646.0,4,1,3,10000
269647.0,7,2,24,24
269662.0,7,2,26,26
269663.0,4,1,1,10000
269664.0,8,2,1,1
269744.0,3,1,1,10000
269752.0,7,2,25,25
269780.0,4,1,1,10000
269781.0,57,13,15,5
269782.0,4,1,1,10000
269784.0,3,1,1,10000
269785.0,4,1,1,10000
269786.0,11,3,9,1
269830.0,4,1,1,10000
269831.0,4,1,1,10000
269838.0,4,1,1,10000
269840.0,3,1,1,10000
269842.0,4,1,1,10000
269844.0,4,1,3,10000
269919.0,3,1,1,10000
269920.0,4,1,1,10000
269932.0,3,1,1,10000
269934.0,4,1,1,10000
269962.0,4,1,1,10000
269970.0,4,1,1,10000
269971.0,4,1,1,10000
269989.0,4,1,1,10000
269990.0,4,1,1,10000
270050.0,8,2,1,1
270056.0,8,2,1,1
270070.0,6,2,1,1
270071.0,6,2,1,1
270093.0,8,2,1,1
270094.0,3,1,2,10000
270095.0,8,2,9,9
270096.0,7,2,1,1
270097.0,4,1,2,10000
270098.0,7,2,45,45
270099.0,4,1,1,10000
270100.0,2,1,1,10000
270101.0,2,1,1,10000
270162.0,5,2,2,2
270163.0,2,1,1,10000
270164.0,7,2,1,1
270175.0,8,2,1,1
270176.0,2,1,1,10000
270177.0,4,1,1,10000
270178.0,4,1,1,10000
270179.0,4,1,1,10000
270188.0,4,1,1,10000
270189.0,4,1,1,10000
270191.0,3,1,1,10000
270192.0,4,1,2,10000
270207.0,6,2,21,21
270208.0,4,1,1,10000
270209.0,4,1,1,10000
270210.0,2,1,1,10000
270227.0,4,1,1,10000
270228.0,4,1,1,10000
270229.0,4,1,1,10000
270293.0,11,3,2,1
270294.0,4,1,9,10000
270300.0,4,1,1,10000
270301.0,3,1,1,10000
270308.0,3,1,1,10000
270309.0,4,1,1,10000
270326.0,2,1,1,10000
270329.0,4,1,1,10000
270332.0,61,13,12,1
270334.0,6,3,1,1
270335.0,4,1,1,10000
270336.0,61,13,12,1
270357.0,3,1,1,10000
270358.0,4,1,2,10000
270360.0,4,1,1,10000
270361.0,38,8,41,19
270362.0,3,1,1,10000
270419.0,2,1,1,10000
270420.0,7,2,3,3
270421.0,3,1,1,10000
270422.0,8,2,8,8
270441.0,4,1,1,10000
270442.0,4,1,1,10000
270443.0,3,1,1,10000
270474.0,4,1,1,10000
270475.0,4,1,1,10000
270476.0,4,1,1,10000
270477.0,8,2,1,1
270478.0,4,1,1,10000
270533.0,4,1,1,10000
270534.0,8,2,1,1
270537.0,4,1,1,10000
270541.0,4,1,1,10000
270542.0,4,1,1,10000
270561.0,3,1,1,10000
270562.0,4,1,1,10000
270575.0,4,1,1,10000
270577.0,6,2,23,23
270578.0,3,1,1,10000
270589.0,4,1,1,10000
270590.0,4,1,1,10000
270593.0,3,1,1,10000
270618.0,3,1,1,10000
270704.0,51,12,20,1
270705.0,47,11,20,1
270710.0,4,1,1,10000
270712.0,3,1,1,10000
270732.0,6,2,1,1
270733.0,10,2,4,4
270734.0,4,1,1,10000
270735.0,2,1,1,10000
270736.0,4,1,1,10000
270797.0,4,1,1,10000
270808.0,2,1,1,10000
270809.0,4,1,1,10000
270819.0,5,2,1,1
270828.0,4,1,1,10000
270829.0,6,2,1,1
270830.0,4,1,1,10000
270831.0,6,2,2,2
270832.0,4,1,1,10000
270835.0,4,1,1,10000
270836.0,3,1,1,10000
270861.0,4,1,1,10000
270862.0,4,1,1,10000
270875.0,10,2,11,11
270876.0,4,1,1,10000
270878.0,2,1,1,10000
270880.0,4,1,1,10000
270925.0,5,2,1,1
270931.0,3,1,1,10000
270942.0,4,1,1,10000
270943.0,12,4,41,14
270947.0,4,1,1,10000
270948.0,3,1,1,10000
270949.0,3,1,1,10000
270953.0,3,1,1,10000
270954.0,4,1,1,10000
270955.0,4,1,1,10000
270956.0,4,1,1,10000
270958.0,4,1,1,10000
270959.0,4,1,1,10000
270988.0,7,2,1,1
270989.0,9,2,4,4
270990.0,4,1,2,10000
270991.0,7,2,2,2
270992.0,4,1,1,10000
270994.0,7,2,1,1
270995.0,3,1,2,10000
271052.0,4,1,1,10000
271067.0,3,1,1,10000
271069.0,9,2,8,8
271071.0,7,2,6,6
271072.0,10,2,25,25
271073.0,4,1,1,10000
271074.0,3,1,1,10000
271082.0,4,1,1,10000
271100.0,4,1,1,10000
271101.0,4,1,1,10000
271102.0,4,1,1,10000
271105.0,7,2,17,17
271150.0,3,1,1,10000
271152.0,2,1,1,10000
271156.0,4,1,1,10000
271157.0,4,1,1,10000
271158.0,4,1,1,10000
271159.0,2,1,3,10000
271168.0,4,1,3,10000
271169.0,4,1,1,10000
271170.0,4,1,1,10000
271172.0,2,1,1,10000
271188.0,8,2,3,3
271189.0,10,2,3,3
271190.0,3,1,1,10000
271199.0,42,9,8,3
271202.0,4,1,1,10000
271203.0,3,1,3,10000
271287.0,4,1,3,10000
271288.0,4,1,1,10000
271290.0,4,1,1,10000
271298.0,4,1,1,10000
271308.0,10,3,1,1
271309.0,4,1,1,10000
271310.0,4,1,1,10000
271311.0,7,2,1,1
271312.0,4,1,1,10000
271314.0,10,3,1,1
271318.0,8,3,1,1
271334.0,6,2,26,26
271335.0,4,1,1,10000
271336.0,4,1,1,10000
271337.0,3,1,1,10000
271339.0,9,2,4,4
271340.0,4,1,4,10000
271341.0,6,2,1,1
271342.0,4,1,1,10000
271388.0,4,1,1,10000
271392.0,3,1,1,10000
271393.0,4,1,1,10000
271394.0,2,1,1,10000
271404.0,4,1,1,10000
271405.0,8,2,4,4
271424.0,8,2,11,11
271425.0,2,1,1,10000
271452.0,9,2,22,22
271453.0,4,1,1,10000
271454.0,3,1,1,10000
271455.0,4,1,1,10000
271458.0,4,1,1,10000
271509.0,6,2,1,1
271510.0,9,2,4,4
271524.0,4,1,1,10000
271526.0,4,1,3,10000
271542.0,3,1,1,10000
271546.0,8,2,1,1
271547.0,8,2,1,1
271548.0,4,1,1,10000
271549.0,7,2,1,1
271551.0,4,1,1,10000
271553.0,7,2,1,1
271573.0,7,3,17,3
271575.0,4,1,2,10000
271576.0,11,2,25,25
271577.0,6,2,20,20
271631.0,2,1,1,10000
271641.0,4,1,6,10000
271642.0,3,1,1,10000
271644.0,4,1,1,10000
271654.0,2,1,1,10000
271655.0,5,2,1,1
271657.0,4,1,1,10000
271660.0,4,1,1,10000
271683.0,3,1,1,10000
271684.0,4,1,1,10000
271685.0,2,1,1,10000
271686.0,4,1,1,10000
271688.0,4,1,1,10000
271689.0,4,1,1,10000
271745.0,9,2,25,25
271746.0,4,1,1,10000
271750.0,2,1,1,10000
271760.0,9,2,28,28
271777.0,3,1,1,10000
271817.0,4,1,3,10000
271818.0,4,1,1,10000
271820.0,4,1,2,10000
271821.0,3,1,1,10000
271822.0,4,1,1,10000
271838.0,8,2,31,31
271839.0,4,1,1,10000
271840.0,9,2,31,31
271902.0,9,2,32,32
271904.0,4,1,1,10000
271905.0,6,2,45,45
271906.0,4,1,1,10000
271908.0,4,1,1,10000
271928.0,4,1,1,10000
271936.0,10,3,1,1
271937.0,4,1,1,10000
271938.0,3,1,1,10000
271939.0,4,1,1,10000
