prim_track,nsegsum,shower_max,max_pid,shower_start
130402.0,4,1,1,10000
130496.0,4,1,1,10000
130497.0,4,1,3,10000
130505.0,4,1,1,10000
130584.0,3,1,1,10000
130591.0,8,2,2,2
130592.0,8,2,1,1
130595.0,3,1,1,10000
130605.0,2,1,2,10000
130619.0,4,1,1,10000
130620.0,4,1,1,10000
130632.0,10,2,3,3
130633.0,9,2,8,8
130702.0,2,1,1,10000
130714.0,4,1,1,10000
130720.0,4,1,2,10000
130722.0,4,1,2,10000
130753.0,3,1,3,10000
130754.0,4,1,1,10000
130827.0,3,1,1,10000
130843.0,3,1,1,10000
130849.0,8,2,9,9
130851.0,3,1,1,10000
130902.0,3,1,1,10000
130903.0,3,1,3,10000
130905.0,2,1,1,10000
130908.0,3,1,1,10000
130918.0,3,1,1,10000
130920.0,4,1,1,10000
130948.0,9,2,4,4
130949.0,9,2,4,4
130976.0,2,1,1,10000
131026.0,10,2,11,11
131028.0,10,2,12,12
131037.0,3,1,1,10000
131050.0,8,2,1,1
131051.0,11,3,1,1
131052.0,11,3,44,29
131053.0,8,2,1,1
131056.0,4,1,1,10000
131058.0,4,1,1,10000
131079.0,4,1,1,10000
131080.0,4,1,1,10000
131081.0,2,1,1,10000
131082.0,9,2,15,15
131083.0,3,1,1,10000
131139.0,4,1,1,10000
131140.0,4,1,1,10000
131164.0,4,1,1,10000
131166.0,4,1,1,10000
131186.0,3,1,1,10000
131187.0,3,1,1,10000
131202.0,4,1,1,10000
131203.0,4,1,1,10000
131282.0,4,1,1,10000
131292.0,4,1,1,10000
131300.0,4,1,2,10000
131313.0,56,11,10,4
131324.0,4,1,1,10000
131325.0,4,1,3,10000
131355.0,3,1,1,10000
131356.0,4,1,1,10000
131357.0,4,1,2,10000
131358.0,4,1,1,10000
131411.0,3,1,1,10000
131419.0,48,10,11,3
131420.0,8,2,1,1
131422.0,4,1,1,10000
131434.0,4,1,3,10000
131435.0,4,1,1,10000
131466.0,4,1,1,10000
131467.0,4,1,3,10000
131468.0,3,1,1,10000
131469.0,4,1,1,10000
131526.0,4,1,1,10000
131535.0,3,1,1,10000
131536.0,4,1,1,10000
131537.0,4,1,1,10000
131538.0,3,1,1,10000
131544.0,4,1,1,10000
131561.0,4,1,1,10000
131562.0,8,2,6,6
131563.0,10,2,4,4
131566.0,4,1,1,10000
131580.0,4,1,1,10000
131581.0,3,1,1,10000
131596.0,7,2,1,1
131597.0,7,2,6,6
131598.0,8,2,28,28
131599.0,4,1,3,10000
131658.0,4,1,1,10000
131659.0,7,2,3,3
131660.0,10,2,6,6
131661.0,4,1,1,10000
131670.0,2,1,1,10000
131693.0,4,1,1,10000
131740.0,8,2,15,15
131742.0,8,2,20,20
131752.0,4,1,1,10000
131765.0,4,1,1,10000
131767.0,8,2,31,31
131769.0,3,1,1,10000
131793.0,4,1,1,10000
131796.0,4,1,2,10000
131840.0,3,1,1,10000
131843.0,7,2,1,1
131844.0,7,2,1,1
131845.0,7,2,1,1
131846.0,7,2,1,1
131854.0,4,1,1,10000
131855.0,4,1,1,10000
131857.0,4,1,1,10000
131882.0,4,1,2,10000
131883.0,2,1,1,10000
131884.0,4,1,1,10000
131936.0,4,1,1,10000
131938.0,5,2,28,28
131946.0,4,1,1,10000
131947.0,4,1,1,10000
131948.0,4,1,1,10000
131949.0,4,1,1,10000
131950.0,4,1,1,10000
131954.0,4,1,1,10000
131955.0,4,1,1,10000
131979.0,4,1,1,10000
132025.0,3,1,1,10000
132032.0,4,1,1,10000
132033.0,4,1,1,10000
132034.0,4,1,1,10000
132035.0,4,1,1,10000
132047.0,4,1,1,10000
132048.0,8,2,15,15
132049.0,4,1,1,10000
132052.0,4,1,1,10000
132076.0,7,2,10,10
132077.0,6,2,10,10
132078.0,7,2,13,13
132079.0,7,2,13,13
132092.0,4,1,1,10000
132093.0,3,1,1,10000
132094.0,4,1,1,10000
132096.0,4,1,2,10000
132097.0,4,1,1,10000
132116.0,4,1,1,10000
132117.0,4,1,1,10000
132163.0,2,1,1,10000
132177.0,4,1,1,10000
132178.0,4,1,1,10000
132194.0,4,1,1,10000
132195.0,3,1,1,10000
132196.0,3,1,1,10000
132197.0,4,1,1,10000
132198.0,4,1,1,10000
132229.0,14,3,12,9
132230.0,4,1,1,10000
132231.0,4,1,1,10000
132232.0,3,1,1,10000
132233.0,3,1,1,10000
132297.0,4,2,31,31
132298.0,6,2,5,5
132317.0,3,1,1,10000
132318.0,4,1,1,10000
132330.0,4,1,1,10000
132331.0,2,1,2,10000
132340.0,3,1,1,10000
