prim_track,nsegsum,shower_max,max_pid,shower_start
274142.0,3,1,1,10000
274243.0,4,1,1,10000
274244.0,4,1,1,10000
274323.0,4,1,1,10000
274326.0,4,1,1,10000
274333.0,4,2,1,1
274354.0,12,3,1,1
274357.0,2,1,1,10000
274358.0,2,1,1,10000
274372.0,10,2,21,21
274373.0,4,1,1,10000
274375.0,2,1,1,10000
274437.0,8,2,18,18
274438.0,4,1,1,10000
274442.0,4,1,1,10000
274443.0,2,1,1,10000
274444.0,8,2,15,15
274445.0,2,1,1,10000
274446.0,46,10,9,2
274447.0,4,2,1,1
274448.0,7,2,55,55
274449.0,2,1,1,10000
274450.0,4,1,1,10000
274452.0,8,2,6,6
274464.0,4,1,1,10000
274465.0,11,3,1,1
274466.0,4,1,1,10000
274467.0,4,1,1,10000
274468.0,4,1,1,10000
274517.0,12,3,1,1
274518.0,3,1,1,10000
274530.0,4,2,1,1
274531.0,4,2,1,1
274532.0,2,1,1,10000
274546.0,14,3,7,1
274547.0,2,1,1,10000
274549.0,9,2,5,5
274552.0,11,2,6,6
274589.0,4,1,1,10000
274590.0,2,1,1,10000
274597.0,3,1,1,10000
274599.0,4,1,1,10000
274623.0,2,1,1,10000
274625.0,4,1,1,10000
274626.0,4,1,1,10000
274648.0,4,1,1,10000
274716.0,4,1,1,10000
274718.0,4,1,1,10000
274743.0,4,1,1,10000
274744.0,4,1,1,10000
274746.0,4,1,1,10000
274747.0,4,1,1,10000
274791.0,3,1,1,10000
274800.0,2,1,1,10000
274801.0,4,1,1,10000
274824.0,3,1,1,10000
274825.0,3,1,1,10000
274826.0,2,1,1,10000
274834.0,4,1,1,10000
274893.0,4,1,1,10000
274894.0,4,1,1,10000
274904.0,7,2,19,19
274905.0,4,1,1,10000
274911.0,4,1,1,10000
274924.0,4,1,1,10000
274930.0,4,1,2,10000
274950.0,4,1,1,10000
274951.0,9,2,22,22
274952.0,2,1,1,10000
274954.0,4,1,4,10000
274998.0,4,1,1,10000
275000.0,4,1,1,10000
275013.0,4,1,4,10000
275038.0,4,1,1,10000
275102.0,9,2,31,31
275103.0,2,1,1,10000
