evtID,trkID,segnum,PID,pdgID,X,Y,Z,TX,TY,E
100890,235881,5,23,11,-8007.2993,17609.771,221322.5,0.008996959,-0.0047604963,0.43345934
100890,170488,7,11,-11,-7988.075,17544.46,204198.5,-0.0014804336,0.0013668739,14.1915655
100890,170488,7,14,-11,-7987.928,17541.799,208479.5,0.0034213017,-0.0009852675,21.201141
100890,170488,7,15,-11,-7988.289,17539.605,209906.5,0.0013359322,0.0013331168,21.201141
100890,170488,7,16,-11,-7987.4766,17542.184,211333.5,0.00164737,0.0022668655,21.201141
100890,170488,7,18,11,-7983.221,17541.775,214187.5,0.0012094778,-0.0027137347,0.19968931
100890,170488,7,19,-11,-7990.6562,17538.049,215614.5,-0.008549065,0.0027035058,0.24121834
100890,170488,7,20,11,-7999.172,17544.035,217041.48,-0.014273152,0.0042039067,0.94398683
100890,236029,3,19,-11,-7957.7725,17484.041,215614.5,0.019427262,-0.002452896,2.1714087
100890,236029,3,20,-11,-7931.174,17483.682,217041.48,0.010191702,0.0070292414,2.1714087
100890,236029,3,21,-11,-7910.3677,17498.08,218468.48,0.024189271,0.00699403,2.1714087
100930,246729,3,19,11,-9582.276,15035.079,215614.5,-0.009273324,-0.0032388973,0.3775592
100930,246729,3,21,-11,-9611.736,15028.984,218468.48,-0.011805957,-0.0025002873,0.42522582
100930,246729,3,22,11,-9620.853,15027.01,219895.5,0.0011425008,-0.0088090915,0.6634286
100930,225712,10,14,11,-9566.692,15029.519,208479.5,0.0027985536,-0.0037025826,48.255314
100930,225712,10,15,11,-9567.249,15034.706,209906.5,0.0031367564,0.0077585913,0.14143924
100930,225712,10,16,-11,-9560.079,15040.483,211333.5,0.008614663,-0.003706649,3.2751553
100930,225712,10,17,-11,-9551.429,15043.881,212760.5,0.0054283207,0.006035145,3.2751553
100930,225712,10,19,-11,-9540.043,15082.241,215614.5,0.0019076758,0.016276902,3.2751553
100930,225712,10,20,-11,-9524.47,15112.999,217041.48,0.016338408,0.024538672,3.2751553
100930,225712,10,21,-11,-9505.378,15158.605,218468.48,0.014047244,0.043436125,3.2751553
100930,225712,10,22,-11,-9483.698,15216.093,219895.5,0.016388368,0.03713742,3.2751553
100930,225712,10,23,-11,-9459.943,15270.812,221322.5,0.012770966,0.040416107,3.2751553
100930,225712,10,24,-11,-9453.207,15327.62,222749.5,-0.0019525464,0.044266738,3.2751553
100930,198486,8,12,-11,-9574.499,15035.719,205625.48,-0.0017042082,0.010469402,32.072693
100930,198486,8,13,11,-9571.047,15041.513,207052.48,0.0010862928,0.0022045276,2.9005075
100930,198486,8,14,11,-9572.15,15044.279,208479.5,0.0010614921,0.0023513255,16.170078
100930,198486,8,15,-11,-9571.108,15042.778,209906.5,0.0010073914,0.0033728227,2.9200172
100930,198486,8,17,11,-9566.497,15047.547,212760.5,0.001279716,0.0033408196,2.4005337
100930,198486,8,18,11,-9567.198,15052.347,214187.5,-0.0025636614,0.004957883,2.4005337
100930,198486,8,19,-11,-9572.306,15066.69,215614.5,-0.0031781052,0.010314901,0.58037525
100930,198486,8,20,11,-9573.507,15068.043,217041.48,-0.0059939115,-0.0031344348,0.51543546
100089,23081,5,20,11,-7365.0776,22741.172,217041.48,-0.017842168,0.00029538327,0.6504263
100089,23081,5,21,11,-7382.9077,22748.04,218468.48,-0.0024485118,0.0089325905,0.47960103
100089,23081,5,22,11,-7387.7397,22756.082,219895.5,-0.0060214526,0.0031183376,0.47960103
100089,23081,5,23,11,-7390.878,22759.908,221322.5,0.0052824114,0.008386064,0.47960103
100089,23081,5,24,11,-7379.906,22767.422,222749.5,0.015263349,0.008813058,0.86597884
100116,30480,3,20,11,-7266.989,27513.871,217041.48,0.016414978,0.025151072,0.75252444
100116,30480,3,21,11,-7249.328,27555.043,218468.48,0.0077976296,0.024593059,0.75252444
100116,30480,3,22,11,-7237.6045,27588.133,219895.5,0.013001128,0.027492108,0.75252444
100116,29642,5,16,11,-7174.5723,27441.018,211333.5,0.005719344,5.3282987e-05,0.20143877
100116,29642,5,17,-11,-7173.37,27444.488,212760.5,0.00051057525,0.0011951457,16.135597
100116,29642,5,19,-11,-7173.828,27446.555,215614.5,0.0009564527,-0.0008046824,16.135597
100116,29642,5,20,11,-7171.588,27439.025,217041.48,0.0007246978,-0.005827537,0.7716185
100116,29642,5,21,-11,-7168.022,27433.92,218468.48,0.0024765572,-0.0067897616,1.0231285
100116,30541,6,20,-11,-7163.9614,27444.385,217041.48,0.005962577,-0.0022895476,1.6996812
100116,30541,6,21,-11,-7157.531,27441.39,218468.48,0.00013121415,-0.0047241123,1.6996812
100116,30541,6,22,-11,-7160.957,27435.232,219895.5,-0.0024167786,-0.013167758,1.6996812
100116,30541,6,23,-11,-7159.6816,27415.783,221322.5,0.0027028692,-0.017379375,1.6996812
100116,30541,6,24,-11,-7152.43,27392.42,222749.5,0.006897,-0.019167332,1.6996812
100116,30541,6,25,-11,-7154.4487,27370.256,224176.5,-0.008977101,-0.011338196,1.6996812
100116,30587,3,20,-11,-7248.6865,27515.127,217041.48,-0.024599047,-0.006345195,0.14457928
100116,30587,3,21,-11,-7270.897,27513.379,218468.48,-0.013000613,0.005914691,0.87026817
100116,30587,3,22,-11,-7298.891,27516.982,219895.5,-0.02967071,0.0004797697,0.87026817
100123,32400,3,20,11,-13757.722,18759.752,217041.48,0.0040624104,-0.005630865,2.2096364
100123,32400,3,21,11,-13761.744,18757.205,218468.48,-0.010352,0.0051929,2.2096364
100123,32400,3,22,11,-13782.865,18756.908,219895.5,-0.025461609,-0.002042177,2.2096364
100123,32477,3,20,11,-13758.455,18845.996,217041.48,-0.0039548664,0.02980884,0.6955273
100123,32477,3,21,11,-13768.889,18880.898,218468.48,-0.005804977,0.02444263,0.6955273
