evtID,trkID,segnum,PID,pdgID,X,Y,Z,TX,TY,E,minPID,injectPID
100089.0,10062.0,7.0,10.0,-11.0,-7364.439,22763.955,202771.5,0.0029307934,-0.00084931904,6.8381233,8.0,0.0
100089.0,10062.0,7.0,12.0,11.0,-7366.4985,22762.902,205625.48,-0.0026428339,0.0013039534,0.45201477,8.0,0.0
100089.0,10062.0,7.0,15.0,-11.0,-7372.628,22764.084,209906.5,0.0013380627,0.0009861653,3.1885092,8.0,0.0
100089.0,10062.0,7.0,16.0,11.0,-7373.642,22767.29,211333.5,-6.8418616e-05,-4.4008364e-05,2.2084599,8.0,0.0
100089.0,10062.0,7.0,17.0,11.0,-7375.1235,22770.543,212760.5,-0.0034077314,0.002072059,2.2084599,8.0,0.0
100089.0,8377.0,3.0,7.0,11.0,-7375.173,22762.918,198490.5,-0.004759479,0.00063479185,5.411206,7.0,0.0
100089.0,10075.0,3.0,8.0,11.0,-7360.467,22774.44,199917.5,0.0018970706,0.00803632,0.6204614,8.0,0.0
100089.0,10075.0,3.0,10.0,-11.0,-7360.152,22799.043,202771.5,-0.0072255586,0.006702127,3.0806715,8.0,0.0
100089.0,22102.0,4.0,15.0,11.0,-7369.063,22766.514,209906.5,-0.0020313107,0.0047816383,20.01236,15.0,0.0
100089.0,22102.0,4.0,16.0,-11.0,-7373.4043,22761.922,211333.5,-0.0051807542,-0.0034519916,1.4192406,15.0,0.0
100089.0,22102.0,4.0,17.0,-11.0,-7377.653,22755.738,212760.5,0.00092670514,-0.001628174,3.7198331,15.0,0.0
100089.0,18445.0,4.0,12.0,11.0,-7369.587,22766.514,205625.48,-0.00509382,-0.002734666,40.8261,12.0,0.0
100089.0,18445.0,4.0,13.0,-11.0,-7368.2646,22766.283,207052.48,0.00024471382,0.0011331615,3.1885092,12.0,0.0
100089.0,18445.0,4.0,14.0,-11.0,-7365.4614,22771.959,208479.5,0.0029139053,-0.00023844573,0.19286616,12.0,0.0
100089.0,18445.0,4.0,15.0,11.0,-7359.858,22775.477,209906.5,0.0010320743,-0.002818364,0.9326168,12.0,0.0
100089.0,16582.0,5.0,11.0,-11.0,-7359.6997,22761.06,204198.5,0.0031647887,-0.0016479202,6.8381233,11.0,0.0
100089.0,8373.0,6.0,7.0,11.0,-7357.575,22767.877,198490.5,0.009062117,-0.0020897686,17.842983,7.0,0.0
100089.0,8373.0,6.0,9.0,-11.0,-7339.7544,22766.467,201344.5,0.005407464,0.00048488608,0.87565655,7.0,0.0
100089.0,8373.0,6.0,14.0,11.0,-7391.144,22773.408,208479.5,-0.004905252,0.0060807825,0.56766844,7.0,0.0
100089.0,18515.0,7.0,12.0,11.0,-7410.2485,22775.814,205625.48,-0.008738571,0.0034564503,0.88004017,12.0,0.0
100089.0,18515.0,7.0,14.0,-11.0,-7437.388,22786.768,208479.5,-0.0074690287,0.0010911772,4.4416404,12.0,0.0
100089.0,18515.0,7.0,16.0,-11.0,-7463.0376,22791.338,211333.5,-0.007211737,-0.000993107,4.4416404,12.0,0.0
100089.0,16527.0,4.0,11.0,11.0,-7379.4995,22772.031,204198.5,-0.0023545674,0.0051046126,1.8799222,11.0,0.0
100089.0,16527.0,4.0,12.0,11.0,-7384.9346,22777.373,205625.48,-0.0021938493,0.0060928077,1.8799222,11.0,0.0
100089.0,16527.0,4.0,13.0,11.0,-7386.499,22783.803,207052.48,0.0030828728,0.006879343,1.8799222,11.0,0.0
100089.0,16576.0,8.0,11.0,-11.0,-7369.806,22763.277,204198.5,-0.007650244,-0.004363255,1.1987244,11.0,0.0
100089.0,16576.0,8.0,13.0,-11.0,-7379.888,22749.17,207052.48,-0.0008197922,-0.0073988433,8.357839,11.0,0.0
100089.0,16576.0,8.0,14.0,-11.0,-7382.2705,22739.965,208479.5,-0.0012727309,-0.0061469506,8.357839,11.0,0.0
100089.0,23086.0,9.0,17.0,11.0,-7372.026,22765.467,212760.5,-0.0017659771,0.001273428,0.116477974,17.0,0.0
100089.0,23086.0,9.0,18.0,11.0,-7374.9976,22767.85,214187.5,-0.0015969961,0.0016921773,3.8912537,17.0,0.0
100089.0,23086.0,9.0,19.0,11.0,-7375.0547,22767.838,215614.5,0.0010849722,-0.0017785071,0.9751351,17.0,0.0
100089.0,23086.0,9.0,20.0,-11.0,-7376.453,22768.172,217041.48,-0.0011849666,-0.0013041458,7.99326,17.0,0.0
100089.0,23086.0,9.0,21.0,-11.0,-7380.646,22764.98,218468.48,-0.002551522,-0.0007183759,7.99326,17.0,0.0
100089.0,23086.0,9.0,22.0,-11.0,-7389.0864,22764.48,219895.5,-0.008703116,-0.0013783197,7.99326,17.0,0.0
100089.0,23086.0,9.0,24.0,-11.0,-7418.4536,22763.09,222749.5,-0.009414282,-0.0038067626,7.99326,17.0,0.0
100089.0,22061.0,3.0,15.0,-11.0,-7386.798,22766.545,209906.5,0.0032407157,-0.0069889594,0.989309,15.0,0.0
100089.0,22170.0,4.0,16.0,-11.0,-7367.4077,22763.27,211333.5,0.007915645,0.00053309655,3.1885092,15.0,0.0
100089.0,22817.0,6.0,16.0,11.0,-7378.325,22754.295,211333.5,-0.004178111,0.0039887354,0.69493365,16.0,0.0
100089.0,22817.0,6.0,17.0,-11.0,-7378.8438,22760.697,212760.5,0.005367454,0.0051425644,1.0951608,16.0,0.0
100089.0,22817.0,6.0,19.0,11.0,-7373.0234,22771.121,215614.5,0.0072310776,0.0042873872,3.8912537,16.0,0.0
100089.0,22817.0,6.0,20.0,-11.0,-7366.5083,22773.336,217041.48,0.0011820066,0.005013036,0.67974365,16.0,0.0
100089.0,22817.0,6.0,21.0,11.0,-7360.5093,22776.47,218468.48,0.005809047,0.001016363,3.5683548,16.0,0.0
100089.0,23691.0,6.0,19.0,11.0,-7373.494,22773.236,215614.5,-0.0088600945,-0.0036502818,0.123410314,19.0,0.0
100089.0,23691.0,6.0,20.0,11.0,-7380.14,22766.18,217041.48,-0.0028812636,-0.0048880056,0.9751351,19.0,0.0
100089.0,23691.0,6.0,21.0,-11.0,-7392.399,22762.26,218468.48,-0.007160547,-0.0017133484,2.1387804,19.0,0.0
100089.0,22103.0,8.0,16.0,11.0,-7363.1973,22761.01,211333.5,-0.0012629251,6.242801e-05,1.2466056,15.0,0.0
100089.0,22103.0,8.0,18.0,11.0,-7361.77,22768.025,214187.5,-0.00017455633,0.0024144463,13.483262,15.0,0.0
100089.0,22103.0,8.0,21.0,-11.0,-7357.959,22764.898,218468.48,-0.00015490265,-0.004462711,6.6401777,15.0,0.0
100089.0,22103.0,8.0,22.0,-11.0,-7357.6484,22761.955,219895.5,-0.00086182036,-0.0024148466,6.6401777,15.0,0.0
100089.0,22103.0,8.0,23.0,-11.0,-7359.1045,22761.77,221322.5,-0.0023656965,0.0005853588,6.6401777,15.0,0.0
100089.0,22103.0,8.0,24.0,-11.0,-7360.058,22761.482,222749.5,0.0012292307,-0.0032278183,6.6401777,15.0,0.0
100089.0,22103.0,8.0,25.0,-11.0,-7356.8496,22756.053,224176.5,0.004152054,-0.0041379253,6.6401777,15.0,0.0
100089.0,23450.0,4.0,18.0,11.0,-7365.525,22761.451,214187.5,-0.000302377,0.0025608274,1.1109592,18.0,0.0
100089.0,23450.0,4.0,19.0,11.0,-7367.7363,22764.646,215614.5,-0.0032754787,0.008878846,1.1109592,18.0,0.0
100089.0,23450.0,4.0,20.0,-11.0,-7368.3643,22768.791,217041.48,0.00068477757,0.0033953693,4.277612,18.0,0.0
100089.0,23450.0,4.0,23.0,-11.0,-7358.0225,22781.889,221322.5,0.0054472387,0.0017322277,4.277612,18.0,0.0
100089.0,23446.0,3.0,18.0,-11.0,-7365.2983,22753.285,214187.5,-0.0018683424,-0.0011315894,2.6990316,18.0,0.0
